raw_name,market_guess,theme_guess,note
Rigetti Computing,US,Quantum Computing,user_supplied_watchlist
Rivian,US,EV,user_supplied_watchlist
로켓랩,US,Space,user_supplied_watchlist
레이시온 테크놀로지스,US,Aerospace/Defense,user_supplied_watchlist
에코스타,US,Satellite,user_supplied_watchlist
사우스와이어,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Teradyne,US,Robotics/Semiconductor,user_supplied_watchlist
Tesla,US,EV/AI,user_supplied_watchlist
TSMC,US,AI Semiconductor,user_supplied_watchlist
보이저 스페이스,KR_CANDIDATE,Watchlist,user_supplied_watchlist
웨스팅하우스,KR_CANDIDATE,Watchlist,user_supplied_watchlist
웰스파고,US,Bank,user_supplied_watchlist
Zapata Computing,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
